LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,0.5NAVGFPS+0.5PE,NAVGFPSPE,NAA,NAG,NAP
5,3,2,1,6,5,4,3,4,4,5,1000,44,3,4,F,12 to 17,4.08695896,0.5151515152,0.77173974,0.6434456276,0.556161513,1,0.5,0
5,3,2,1,6,3,2,1,1,2,1,1000,44,4,5,M,18 to 25,1.84317189,0.5151515152,0.2107929725,0.3629722438,0.170990573,1,0.5,0
5,3,2,1,6,3,2,2,3,2,2,1000,41,4,6,F,18 to 25,2.26927782,0.4242424242,0.317319455,0.3707809396,0.181714167,1,0.5,0
5,3,2,1,6,2,3,3,5,4,4,1000,46,4,7,F,18 to 25,3.62154753,0.5757575758,0.6553868825,0.6155722291,0.5178832887,1,0.5,0
5,3,2,1,6,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,0.7727272727,0.7337025407,1,0.5,0
5,3,2,1,6,3,5,5,5,5,5,336,46,5,9,F,18 to 25,4.70865602,0.5757575758,0.927164005,0.7514607904,0.7044975199,1,0.5,0
5,3,2,1,6,3,4,4,5,5,5,1000,42,4,10,F,12 to 17,4.4979417,0.4545454545,0.874485425,0.6645154398,0.5850964488,1,0.5,0
5,3,2,1,6,4,4,4,4,4,4,1000,43,2,11,M,18 to 25,4,0.4848484848,0.75,0.6174242424,0.5204266377,1,0.5,0
5,3,2,1,6,3,3,2,2,3,2,1000,43,4,12,M,18 to 25,2.6974999,0.4848484848,0.424374975,0.4546117299,0.2968380475,1,0.5,0
5,3,2,1,6,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,5,0.4545454545,1,0.7272727273,0.6712803252,1,0.5,0
5,3,2,1,6,4,4,4,5,5,5,1000,42,5,14,F,18 to 25,4.64361369,0.4545454545,0.9109034225,0.6827244385,0.6101026618,1,0.5,0
5,3,2,1,6,3,5,4,5,5,4,1000,42,3,15,F,18 to 25,4.52976175,0.4545454545,0.8824404375,0.668492946,0.5905587134,1,0.5,0
5,3,2,1,6,4,3,4,5,5,4,1000,39,4,16,F,18 to 25,4.4916124,0.3636363636,0.8729031,0.6182697318,0.5215877388,1,0.5,0
5,3,2,1,6,4,5,4,4,4,4,1000,40,3,17,M,18 to 25,4.09191067,0.3939393939,0.7729776675,0.5834585307,0.4737819083,1,0.5,0
5,3,2,1,6,3,4,3,3,2,3,617,41,3,18,F,18 to 25,2.63199343,0.4242424242,0.4079983575,0.4161203909,0.2439783249,1,0.5,0
5,3,2,1,6,5,5,4,5,5,5,321,41,2,19,F,18 to 25,4.88119635,0.4242424242,0.9702990875,0.6972707559,0.6300789556,1,0.5,0
5,3,2,1,6,4,4,5,4,3,4,1000,43,1,20,F,18 to 25,3.65888641,0.4848484848,0.6647216025,0.5747850437,0.4618707062,1,0.5,0
5,3,2,1,6,5,4,4,4,5,4,1000,43,3,21,F,18 to 25,4.60558923,0.4848484848,0.9013973075,0.6931228962,0.6243827466,1,0.5,0
5,3,2,1,6,4,3,4,5,4,3,996,43,3,22,M,12 to 17,3.97160454,0.4848484848,0.742901135,0.6138748099,0.515552242,1,0.5,0
5,3,2,1,6,3,4,4,2,4,4,1000,39,4,23,F,12 to 17,3.60711635,0.3636363636,0.6517790875,0.5077077256,0.3697541805,1,0.5,0
5,3,2,1,6,4,4,4,5,5,4,1000,44,4,24,F,18 to 25,4.58352307,0.5151515152,0.8958807675,0.7055161413,0.6414022507,1,0.5,0
6,1,2,3,6,2,5,3,4,3,3,1000,44,5,1,F,18 to 25,3.16175518,0.5151515152,0.540438795,0.5277951551,0.3973400212,0,0.5,1
