LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
5,3,2,1,6,5,5,1,5,5,5,1000,44,5,1,F,18 to 25,4.5247854,0.5151515152,0.88119635,,,,
5,3,2,1,6,4,5,5,4,5,5,1000,43,5,2,F,18 to 25,4.73072218,0.4848484848,0.932680545,,,,
5,3,2,1,6,3,5,4,4,5,4,1000,43,3,3,M,18 to 25,4.40615592,0.4848484848,0.85153898,,,,
5,3,2,1,6,5,4,3,4,4,5,1000,44,3,4,F,12 to 17,4.08695896,0.5151515152,0.77173974,,,,
5,3,2,1,6,3,2,1,1,2,1,1000,44,4,5,M,18 to 25,1.84317189,0.5151515152,0.2107929725,,,,
5,3,2,1,6,3,2,2,3,2,2,1000,41,4,6,F,18 to 25,2.26927782,0.4242424242,0.317319455,,,,
5,3,2,1,6,2,3,3,5,4,4,1000,46,4,7,F,18 to 25,3.62154753,0.5757575758,0.6553868825,,,,
5,3,2,1,6,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,,,,
5,3,2,1,6,3,5,5,5,5,5,336,46,5,9,F,18 to 25,4.70865602,0.5757575758,0.927164005,,,,
5,3,2,1,6,3,4,4,5,5,5,1000,42,4,10,F,12 to 17,4.4979417,0.4545454545,0.874485425,,,,
5,3,2,1,6,4,4,4,4,4,4,1000,43,2,11,M,18 to 25,4,0.4848484848,0.75,,,,
5,3,2,1,6,3,3,2,2,3,2,1000,43,4,12,M,18 to 25,2.6974999,0.4848484848,0.424374975,,,,
5,3,2,1,6,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,5,0.4545454545,1,,,,
5,3,2,1,6,4,4,4,5,5,5,1000,42,5,14,F,18 to 25,4.64361369,0.4545454545,0.9109034225,,,,
5,3,2,1,6,3,5,4,5,5,4,1000,42,3,15,F,18 to 25,4.52976175,0.4545454545,0.8824404375,,,,
5,3,2,1,6,4,3,4,5,5,4,1000,39,4,16,F,18 to 25,4.4916124,0.3636363636,0.8729031,,,,
5,3,2,1,6,4,5,4,4,4,4,1000,40,3,17,M,18 to 25,4.09191067,0.3939393939,0.7729776675,,,,
5,3,2,1,6,3,4,3,3,2,3,617,41,3,18,F,18 to 25,2.63199343,0.4242424242,0.4079983575,,,,
5,3,2,1,6,5,5,4,5,5,5,321,41,2,19,F,18 to 25,4.88119635,0.4242424242,0.9702990875,,,,
5,3,2,1,6,4,4,5,4,3,4,1000,43,1,20,F,18 to 25,3.65888641,0.4848484848,0.6647216025,,,,
5,3,2,1,6,5,4,4,4,5,4,1000,43,3,21,F,18 to 25,4.60558923,0.4848484848,0.9013973075,,,,
5,3,2,1,6,4,3,4,5,4,3,996,43,3,22,M,12 to 17,3.97160454,0.4848484848,0.742901135,,,,
5,3,2,1,6,3,4,4,2,4,4,1000,39,4,23,F,12 to 17,3.60711635,0.3636363636,0.6517790875,,,,
5,3,2,1,6,4,4,4,5,5,4,1000,44,4,24,F,18 to 25,4.58352307,0.5151515152,0.8958807675,,,,
6,1,2,3,6,2,5,3,4,3,3,1000,44,5,1,F,18 to 25,3.16175518,0.5151515152,0.540438795,,,,
6,1,2,3,6,3,4,5,3,5,4,1000,43,5,2,F,18 to 25,4.30944307,0.4848484848,0.8273607675,,,,
6,1,2,3,6,1,3,4,5,5,4,1000,43,3,3,M,18 to 25,4.05459643,0.4848484848,0.7636491075,,,,
6,1,2,3,6,2,4,3,4,4,4,1000,44,3,4,F,12 to 17,3.58985237,0.5151515152,0.6474630925,,,,
6,1,2,3,6,1,3,3,3,2,2,1000,45,4,5,M,18 to 25,2.18864816,0.5454545455,0.29716204,,,,
6,1,2,3,6,1,3,4,3,2,3,858,44,4,6,F,18 to 25,2.36754243,0.5151515152,0.3418856075,,,,
6,1,2,3,6,1,3,3,5,4,4,1000,42,4,7,F,18 to 25,3.47587554,0.4545454545,0.618968885,,,,
6,1,2,3,6,3,5,5,5,5,5,1000,44,3,8,M,12 to 17,4.70865602,0.5151515152,0.927164005,,,,
6,1,2,3,6,1,5,5,5,5,5,724,45,5,9,F,18 to 25,4.41731204,0.5454545455,0.85432801,,,,
6,1,2,3,6,1,3,2,4,5,3,1000,34,4,10,F,12 to 17,3.63329268,0.2121212121,0.65832317,,,,
6,1,2,3,6,2,4,4,2,3,3,1000,43,2,11,M,18 to 25,2.9414365,0.4848484848,0.485359125,,,,
6,1,2,3,6,1,3,2,2,3,2,1000,43,4,12,M,18 to 25,2.40615592,0.4848484848,0.35153898,,,,
6,1,2,3,6,1,5,5,4,5,4,337,44,5,13,M,18 to 25,4.23361559,0.5151515152,0.8084038975,,,,
6,1,2,3,6,2,4,5,5,5,5,1000,41,5,14,F,18 to 25,4.47107336,0.4242424242,0.86776834,,,,
6,1,2,3,6,1,5,5,5,5,4,1000,40,3,15,F,18 to 25,4.35722142,0.3939393939,0.839305355,,,,
