LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
12,3,1,2,5,2,3,4,4,4,1000,53,4,5,M,18 to 25,3.666666667,0.7878787879,0.6666666667,0.7272727273,1,0,0.5
12,3,1,2,5,5,5,5,4,5,1000,52,4,6,F,18 to 25,4.833333333,0.7575757576,0.9583333333,0.8579545455,1,0,0.5
12,3,1,2,1,4,4,5,4,5,1000,57,4,7,F,18 to 25,3.833333333,0.9090909091,0.7083333333,0.8087121212,1,0,0.5
12,3,1,2,5,5,5,5,5,5,1000,52,3,8,M,12 to 17,5,0.7575757576,1,0.8787878788,1,0,0.5
12,3,1,2,4,5,5,5,5,5,1000,58,5,9,F,18 to 25,4.833333333,0.9393939394,0.9583333333,0.9488636364,1,0,0.5
13,2,2,2,3,4,5,5,5,5,1000,46,5,1,F,18 to 25,4.5,0.5757575758,0.875,0.7253787879,0.5,0.5,0.5
13,2,2,2,5,5,5,5,5,5,1000,43,5,2,F,18 to 25,5,0.4848484848,1,0.7424242424,0.5,0.5,0.5
13,2,2,2,4,3,3,5,5,4,1000,45,3,3,M,18 to 25,4,0.5454545455,0.75,0.6477272727,0.5,0.5,0.5
13,2,2,2,1,3,3,3,2,2,616,35,3,4,F,12 to 17,2.333333333,0.2424242424,0.3333333333,0.2878787879,0.5,0.5,0.5
13,2,2,2,5,5,5,5,4,5,1000,45,4,5,M,18 to 25,4.833333333,0.5454545455,0.9583333333,0.7518939394,0.5,0.5,0.5
13,2,2,2,4,4,4,4,3,4,1000,44,4,6,F,18 to 25,3.833333333,0.5151515152,0.7083333333,0.6117424242,0.5,0.5,0.5
13,2,2,2,5,5,5,5,5,5,1000,44,4,7,F,18 to 25,5,0.5151515152,1,0.7575757576,0.5,0.5,0.5
13,2,2,2,5,5,5,5,5,5,1000,43,3,8,M,12 to 17,5,0.4848484848,1,0.7424242424,0.5,0.5,0.5
13,2,2,2,4,5,5,5,5,5,1000,45,5,9,F,18 to 25,4.833333333,0.5454545455,0.9583333333,0.7518939394,0.5,0.5,0.5
14,2,1,1,5,5,1,5,5,5,1000,55,5,1,F,18 to 25,4.333333333,0.8484848485,0.8333333333,0.8409090909,0.5,0,0
14,2,1,1,4,5,5,4,4,4,1000,53,5,2,F,18 to 25,4.333333333,0.7878787879,0.8333333333,0.8106060606,0.5,0,0
14,2,1,1,1,3,3,5,5,4,886,53,3,3,M,18 to 25,3.5,0.7878787879,0.625,0.7064393939,0.5,0,0
14,2,1,1,1,2,2,1,1,1,321,41,3,4,F,12 to 17,1.333333333,0.4242424242,0.08333333333,0.2537878788,0.5,0,0
14,2,1,1,4,3,3,1,1,1,1000,53,4,5,M,18 to 25,2.166666667,0.7878787879,0.2916666667,0.5397727273,0.5,0,0
14,2,1,1,4,2,2,3,3,3,1000,52,4,6,F,18 to 25,2.833333333,0.7575757576,0.4583333333,0.6079545455,0.5,0,0
14,2,1,1,5,5,5,5,5,5,1000,56,4,7,F,18 to 25,5,0.8787878788,1,0.9393939394,0.5,0,0
