LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
12,3,1,2,6,5,2,5,5,5,5,1000,32,5,1,F,18 to 25,,,,,,,
12,3,1,2,6,5,5,5,5,5,5,1000,56,5,2,F,18 to 25,,,,,,,
12,3,1,2,6,3,2,3,3,5,4,1000,52,3,3,M,18 to 25,,,,,,,
12,3,1,2,6,3,3,3,3,3,3,1000,52,3,4,F,12 to 17,,,,,,,
12,3,1,2,6,5,2,3,4,4,4,1000,53,4,5,M,18 to 25,,,,,,,
12,3,1,2,6,5,5,5,5,4,5,1000,52,4,6,F,18 to 25,,,,,,,
12,3,1,2,6,1,4,4,5,4,5,1000,57,4,7,F,18 to 25,,,,,,,
12,3,1,2,6,5,5,5,5,5,5,1000,52,3,8,M,12 to 17,,,,,,,
12,3,1,2,6,4,5,5,5,5,5,1000,58,5,9,F,18 to 25,,,,,,,
12,3,1,2,6,3,1,3,3,5,3,1000,55,4,10,F,12 to 17,,,,,,,
12,3,1,2,6,3,4,4,4,4,5,1000,57,2,11,M,18 to 25,,,,,,,
12,3,1,2,6,3,1,5,4,4,4,1000,58,4,12,M,18 to 25,,,,,,,
12,3,1,2,6,5,5,5,5,5,5,1000,51,5,13,M,18 to 25,,,,,,,
12,3,1,2,6,3,5,5,5,5,4,1000,52,5,14,F,18 to 25,,,,,,,
12,3,1,2,6,1,3,5,5,5,4,1000,54,3,15,F,18 to 25,,,,,,,
12,3,1,2,6,5,4,4,5,4,4,1000,38,4,16,F,18 to 25,,,,,,,
12,3,1,2,6,5,1,4,3,4,3,368,51,3,17,M,18 to 25,,,,,,,
12,3,1,2,6,3,4,4,4,4,4,1000,52,3,18,F,18 to 25,,,,,,,
12,3,1,2,6,3,4,4,5,5,4,811,49,2,19,F,18 to 25,,,,,,,
12,3,1,2,6,3,3,4,4,4,4,1000,57,1,20,F,18 to 25,,,,,,,
12,3,1,2,6,4,4,4,4,4,4,1000,57,3,21,F,18 to 25,,,,,,,
12,3,1,2,6,2,3,1,1,2,3,1000,54,3,22,M,12 to 17,,,,,,,
12,3,1,2,6,3,2,3,3,3,3,1000,56,4,23,F,12 to 17,,,,,,,
12,3,1,2,6,2,3,3,3,4,3,1000,51,4,24,F,18 to 25,,,,,,,
13,2,2,2,6,3,4,5,5,5,5,1000,46,5,1,F,18 to 25,,,,,,,
13,2,2,2,6,5,5,5,5,5,5,1000,43,5,2,F,18 to 25,,,,,,,
13,2,2,2,6,4,3,3,5,5,4,1000,45,3,3,M,18 to 25,,,,,,,
13,2,2,2,6,1,3,3,3,2,2,616,35,3,4,F,12 to 17,,,,,,,
13,2,2,2,6,5,5,5,5,4,5,1000,45,4,5,M,18 to 25,,,,,,,
13,2,2,2,6,4,4,4,4,3,4,1000,44,4,6,F,18 to 25,,,,,,,
13,2,2,2,6,5,5,5,5,5,5,1000,44,4,7,F,18 to 25,,,,,,,
13,2,2,2,6,5,5,5,5,5,5,1000,43,3,8,M,12 to 17,,,,,,,
